area_name,lea_name,county,population_2022,age_0_14,age_15_34,age_35_64,age_65_plus,age_0_14_pct,age_15_34_pct,age_35_64_pct,age_65_plus_pct,birthplace_total,born_ireland,born_uk,born_poland,born_india,born_other_eu,born_rest_world,birthplace_not_stated,born_outside_ireland,born_ireland_pct,born_outside_ireland_pct,born_uk_pct,born_poland_pct,born_india_pct,born_other_eu_pct,born_rest_world_pct,birthplace_not_stated_pct,citizenship_total,citizen_ireland,citizen_uk,citizen_poland,citizen_india,citizen_other_eu,citizen_rest_world,citizenship_not_stated,non_irish_citizenship,citizen_ireland_pct,non_irish_citizenship_pct,citizen_uk_pct,citizen_poland_pct,citizen_india_pct,citizen_other_eu_pct,citizen_rest_world_pct,citizenship_not_stated_pct,ethnicity_white_irish,ethnicity_white_irish_traveller,ethnicity_other_white,ethnicity_black_or_black_irish,ethnicity_asian_or_asian_irish,ethnicity_other,ethnicity_not_stated,ethnicity_total,ethnicity_white_irish_pct,ethnicity_white_irish_traveller_pct,ethnicity_other_white_pct,ethnicity_black_or_black_irish_pct,ethnicity_asian_or_asian_irish_pct,ethnicity_other_pct,ethnicity_not_stated_pct,religion_catholic,religion_other,religion_none,religion_not_stated,religion_total,religion_catholic_pct,religion_other_pct,religion_none_pct,religion_not_stated_pct,language_spanish,language_french,language_polish,language_other_incl_not_stated,foreign_language_speakers,language_total,language_spanish_pct,language_french_pct,language_polish_pct,language_other_incl_not_stated_pct,foreign_language_speakers_pct,families_household_size_2_persons,families_household_size_3_persons,families_household_size_4_persons,families_household_size_5_persons,families_household_size_6_plus_persons,families_household_size_total,families_household_size_2_persons_pct,families_household_size_3_persons_pct,families_household_size_4_persons_pct,families_household_size_5_persons_pct,families_household_size_6_plus_persons_pct,persons_household_size_2_persons,persons_household_size_3_persons,persons_household_size_4_persons,persons_household_size_5_persons,persons_household_size_6_plus_persons,persons_household_size_total,persons_household_size_2_persons_pct,persons_household_size_3_persons_pct,persons_household_size_4_persons_pct,persons_household_size_5_persons_pct,persons_household_size_6_plus_persons_pct,children_household_size_2_persons,children_household_size_3_persons,children_household_size_4_persons,children_household_size_5_persons,children_household_size_6_plus_persons,children_household_size_total,children_household_size_2_persons_pct,children_household_size_3_persons_pct,children_household_size_4_persons_pct,children_household_size_5_persons_pct,children_household_size_6_plus_persons_pct,families_total,families_2_person_households,families_3_person_households,families_4_person_households,families_5_person_households,families_6_plus_person_households,families_2_person_households_pct,families_3_person_households_pct,families_4_person_households_pct,families_5_person_households_pct,families_6_plus_person_households_pct,status_at_work,status_looking_first_job,status_short_term_unemployed,status_long_term_unemployed,status_student,status_home_family,status_retired,status_unable_to_work,status_other,status_total_15_plus,status_unemployed,status_at_work_pct,status_student_pct,status_retired_pct,status_home_family_pct,status_unable_to_work_pct,status_looking_first_job_pct,status_short_term_unemployed_pct,status_long_term_unemployed_pct,status_unemployed_pct,status_other_pct
"Balbriggan, Fingal",Balbriggan,Fingal,40476,9631,9438,17021,4386,23.8,23.3,42.1,10.8,40206,30434,1747,1398,370,2644,3613,0,9772,75.7,24.3,4.3,3.5,0.9,6.6,9.0,0.0,40206,33462,503,1173,223,2420,1467,958,5786,83.2,14.4,1.3,2.9,0.6,6.0,3.6,2.4,27320,226,5847,2573,1401,1109,1730,40206,68.0,0.6,14.5,6.4,3.5,2.8,4.3,24939,6296,7111,2130,40476,61.6,15.6,17.6,5.3,439,602,1722,6959,9722,9722,1.1,1.5,4.3,17.2,24.0,3715,2541,2728,1218,483,10685,34.8,23.8,25.5,11.4,4.5,7430,7623,10912,6090,3044,35099,21.2,21.7,31.1,17.4,8.7,1118,3226,5745,3743,2103,15935,7.0,20.2,36.1,23.5,13.2,10685,3715,2541,2728,1218,483,34.8,23.8,25.5,11.4,4.5,17509,320,612,822,3945,2225,3935,1317,160,30845,1754,56.8,12.8,12.8,7.2,4.3,1.0,2.0,2.7,5.7,0.5
"Ballina, Mayo",Ballina,Mayo,25858,5106,5423,10349,4980,19.7,21.0,40.0,19.3,25602,21872,2152,535,67,289,687,0,3730,85.4,14.6,8.4,2.1,0.3,1.1,2.7,0.0,25602,23524,567,453,55,251,306,446,1632,91.9,6.4,2.2,1.8,0.2,1.0,1.2,1.7,22275,521,1667,40,261,231,607,25602,87.0,2.0,6.5,0.2,1.0,0.9,2.4,21801,1353,2006,698,25858,84.3,5.2,7.8,2.7,72,142,669,957,1840,1840,0.3,0.5,2.6,3.7,7.1,2840,1455,1328,741,370,6734,42.2,21.6,19.7,11.0,5.5,5680,4365,5312,3705,2379,21441,26.5,20.4,24.8,17.3,11.1,701,1771,2773,2265,1652,9162,7.7,19.3,30.3,24.7,18.0,6734,2840,1455,1328,741,370,42.2,21.6,19.7,11.0,5.5,10536,243,354,752,1948,1484,4176,1088,171,20752,1349,50.8,9.4,20.1,7.2,5.2,1.2,1.7,3.6,6.5,0.8
"Ballinamore, Leitrim",Ballinamore,Leitrim,10879,2135,2206,4381,2157,19.6,20.3,40.3,19.8,10683,8678,1061,219,8,276,441,0,2005,81.2,18.8,9.9,2.0,0.1,2.6,4.1,0.0,10683,9325,477,189,8,263,215,206,1152,87.3,10.8,4.5,1.8,0.1,2.5,2.0,1.9,8930,6,1122,103,59,131,332,10683,83.6,0.1,10.5,1.0,0.6,1.2,3.1,8510,851,1108,410,10879,78.2,7.8,10.2,3.8,45,78,270,530,923,923,0.4,0.7,2.5,4.9,8.5,1199,591,527,328,164,2809,42.7,21.0,18.8,11.7,5.8,2398,1773,2108,1640,1027,8946,26.8,19.8,23.6,18.3,11.5,241,686,1099,998,706,3730,6.5,18.4,29.5,26.8,18.9,2809,1199,591,527,328,164,42.7,21.0,18.8,11.7,5.8,4497,77,137,233,862,662,1701,493,82,8744,447,51.4,9.9,19.5,7.6,5.6,0.9,1.6,2.7,5.1,0.9
"Ballinasloe, Galway County",Ballinasloe,Galway County,29855,6064,6253,11658,5880,20.3,20.9,39.0,19.7,29636,25661,1788,520,198,466,1003,0,3975,86.6,13.4,6.0,1.8,0.7,1.6,3.4,0.0,29636,26734,538,444,189,433,569,729,2173,90.2,7.3,1.8,1.5,0.6,1.5,1.9,2.5,24835,816,1817,189,517,323,1139,29636,83.8,2.8,6.1,0.6,1.7,1.1,3.8,24697,1777,2110,1271,29855,82.7,6.0,7.1,4.3,69,236,607,1576,2488,2488,0.2,0.8,2.0,5.3,8.3,2936,1597,1625,920,452,7530,39.0,21.2,21.6,12.2,6.0,5872,4791,6500,4600,2918,24681,23.8,19.4,26.3,18.6,11.8,627,1897,3361,2804,2029,10718,5.8,17.7,31.4,26.2,18.9,7530,2936,1597,1625,920,452,39.0,21.2,21.6,12.2,6.0,12403,205,347,622,2318,1877,4624,1232,163,23791,1174,52.1,9.7,19.4,7.9,5.2,0.9,1.5,2.6,4.9,0.7
"Ballybay-Clones, Monaghan",Ballybay-Clones,Monaghan,18421,4114,4003,7206,3098,22.3,21.7,39.1,16.8,18288,14998,1883,87,7,813,500,0,3290,82.0,18.0,10.3,0.5,0.0,4.4,2.7,0.0,18288,16643,218,83,7,807,319,211,1434,91.0,7.8,1.2,0.5,0.0,4.4,1.7,1.2,16213,70,1283,94,133,166,329,18288,88.7,0.4,7.0,0.5,0.7,0.9,1.8,14552,2455,1063,351,18421,79.0,13.3,5.8,1.9,28,128,96,1319,1571,1571,0.2,0.7,0.5,7.2,8.5,1735,953,1016,648,353,4705,36.9,20.3,21.6,13.8,7.5,3470,2859,4064,3240,2242,15875,21.9,18.0,25.6,20.4,14.1,400,1124,2114,1975,1545,7158,5.6,15.7,29.5,27.6,21.6,4705,1735,953,1016,648,353,36.9,20.3,21.6,13.8,7.5,7970,96,198,311,1471,1117,2392,673,79,14307,605,55.7,10.3,16.7,7.8,4.7,0.7,1.4,2.2,4.2,0.6
"Ballyfermot-Drimnagh, Dublin City",Ballyfermot-Drimnagh,Dublin City,48563,8401,13301,19913,6948,17.3,27.4,41.0,14.3,48280,40512,1326,774,520,1877,3271,0,7768,83.9,16.1,2.7,1.6,1.1,3.9,6.8,0.0,48280,39923,359,700,482,1878,1846,3092,5265,82.7,10.9,0.7,1.4,1.0,3.9,3.8,6.4,34719,424,3221,871,1681,950,6414,48280,71.9,0.9,6.7,1.8,3.5,2.0,13.3,29773,4330,7680,6780,48563,61.3,8.9,15.8,14.0,442,349,713,4714,6218,6218,0.9,0.7,1.5,9.7,12.8,5004,2753,2097,798,392,11044,45.3,24.9,19.0,7.2,3.5,10008,8259,8388,3990,2556,33201,30.1,24.9,25.3,12.0,7.7,1851,3701,4566,2495,1829,14442,12.8,25.6,31.6,17.3,12.7,11044,5004,2753,2097,798,392,45.3,24.9,19.0,7.2,3.5,22382,403,843,1507,3378,2433,6048,2669,499,40162,2753,55.7,8.4,15.1,6.1,6.6,1.0,2.1,3.8,6.9,1.2
"Ballyjamesduff, Cavan",Ballyjamesduff,Cavan,27980,6043,6556,11332,4049,21.6,23.4,40.5,14.5,27716,22986,1714,452,74,1247,1243,0,4730,82.9,17.1,6.2,1.6,0.3,4.5,4.5,0.0,27716,24326,510,416,63,1126,680,595,2795,87.8,10.1,1.8,1.5,0.2,4.1,2.5,2.1,23043,47,2726,298,318,387,897,27716,83.1,0.2,9.8,1.1,1.1,1.4,3.2,21470,2892,2603,1015,27980,76.7,10.3,9.3,3.6,89,203,588,2429,3309,3309,0.3,0.7,2.1,8.7,11.8,2596,1522,1613,973,475,7179,36.2,21.2,22.5,13.6,6.6,5192,4566,6452,4865,2986,24061,21.6,19.0,26.8,20.2,12.4,562,1859,3352,2967,2045,10785,5.2,17.2,31.1,27.5,19.0,7179,2596,1522,1613,973,475,36.2,21.2,22.5,13.6,6.6,12326,180,366,538,2498,1748,3220,899,162,21937,1084,56.2,11.4,14.7,8.0,4.1,0.8,1.7,2.5,4.9,0.7
"Ballymahon, Longford",Ballymahon,Longford,17922,3681,4241,7412,2588,20.5,23.7,41.4,14.4,17768,14431,993,555,66,876,847,0,3337,81.2,18.8,5.6,3.1,0.4,4.9,4.8,0.0,17768,13483,368,485,46,852,469,2065,2220,75.9,12.5,2.1,2.7,0.3,4.8,2.6,11.6,12018,139,1799,273,252,291,2996,17768,67.6,0.8,10.1,1.5,1.4,1.6,16.9,12045,1343,1415,3119,17922,67.2,7.5,7.9,17.4,90,110,598,1505,2303,2303,0.5,0.6,3.3,8.4,12.9,1445,816,831,443,175,3710,38.9,22.0,22.4,11.9,4.7,2890,2448,3324,2215,1126,12003,24.1,20.4,27.7,18.5,9.4,319,978,1732,1362,788,5179,6.2,18.9,33.4,26.3,15.2,3710,1445,816,831,443,175,38.9,22.0,22.4,11.9,4.7,7955,144,264,386,1532,990,2117,741,112,14241,794,55.9,10.8,14.9,7.0,5.2,1.0,1.9,2.7,5.6,0.8
"Ballymote-Tobercurry, Sligo",Ballymote-Tobercurry,Sligo,28449,5819,5523,11681,5426,20.5,19.4,41.1,19.1,28176,24067,2502,354,47,474,732,0,4109,85.4,14.6,8.9,1.3,0.2,1.7,2.6,0.0,28176,25528,919,320,34,424,339,612,2036,90.6,7.2,3.3,1.1,0.1,1.5,1.2,2.2,24444,116,1994,188,195,188,1051,28176,86.8,0.4,7.1,0.7,0.7,0.7,3.7,22635,1885,2781,1148,28449,79.6,6.6,9.8,4.0,120,235,420,1032,1807,1807,0.4,0.8,1.5,3.6,6.4,3027,1473,1501,909,397,7307,41.4,20.2,20.5,12.4,5.4,6054,4419,6004,4545,2523,23545,25.7,18.8,25.5,19.3,10.7,652,1780,3120,2773,1738,10063,6.5,17.7,31.0,27.6,17.3,7307,3027,1473,1501,909,397,41.4,20.2,20.5,12.4,5.4,12156,133,371,564,2335,1309,4524,1148,90,22630,1068,53.7,10.3,20.0,5.8,5.1,0.6,1.6,2.5,4.7,0.4
"Ballymun-Finglas, Dublin City",Ballymun-Finglas,Dublin City,56305,9980,15527,22384,8414,17.7,27.6,39.8,14.9,56021,47513,1609,961,536,2339,3063,0,8508,84.8,15.2,2.9,1.7,1.0,4.2,5.5,0.0,56021,47371,370,869,392,2319,1690,3010,5640,84.6,10.1,0.7,1.6,0.7,4.1,3.0,5.4,40091,642,3893,816,1762,858,7959,56021,71.6,1.1,6.9,1.5,3.1,1.5,14.2,35784,4373,7731,8417,56305,63.6,7.8,13.7,14.9,403,303,912,5349,6967,6967,0.7,0.5,1.6,9.5,12.4,5498,3327,2604,1116,425,12970,42.4,25.7,20.1,8.6,3.3,10996,9981,10416,5580,2706,39679,27.7,25.2,26.3,14.1,6.8,2224,4541,5703,3494,1921,17883,12.4,25.4,31.9,19.5,10.7,12970,5498,3327,2604,1116,425,42.4,25.7,20.1,8.6,3.3,24771,468,1008,2124,4527,2890,7382,2881,274,46325,3600,53.5,9.8,15.9,6.2,6.2,1.0,2.2,4.6,7.8,0.6
