area_name,lea_name,county,population_2022,age_0_14,age_15_34,age_35_64,age_65_plus,age_0_14_pct,age_15_34_pct,age_35_64_pct,age_65_plus_pct,birthplace_total,born_ireland,born_uk,born_poland,born_india,born_other_eu,born_rest_world,birthplace_not_stated,born_outside_ireland,born_ireland_pct,born_outside_ireland_pct,born_uk_pct,born_poland_pct,born_india_pct,born_other_eu_pct,born_rest_world_pct,birthplace_not_stated_pct,citizenship_total,citizen_ireland,citizen_uk,citizen_poland,citizen_india,citizen_other_eu,citizen_rest_world,citizenship_not_stated,non_irish_citizenship,citizen_ireland_pct,non_irish_citizenship_pct,citizen_uk_pct,citizen_poland_pct,citizen_india_pct,citizen_other_eu_pct,citizen_rest_world_pct,citizenship_not_stated_pct,ethnicity_white_irish,ethnicity_white_irish_traveller,ethnicity_other_white,ethnicity_black_or_black_irish,ethnicity_asian_or_asian_irish,ethnicity_other,ethnicity_not_stated,ethnicity_total,ethnicity_white_irish_pct,ethnicity_white_irish_traveller_pct,ethnicity_other_white_pct,ethnicity_black_or_black_irish_pct,ethnicity_asian_or_asian_irish_pct,ethnicity_other_pct,ethnicity_not_stated_pct,religion_catholic,religion_other,religion_none,religion_not_stated,religion_total,religion_catholic_pct,religion_other_pct,religion_none_pct,religion_not_stated_pct,language_spanish,language_french,language_polish,language_other_incl_not_stated,foreign_language_speakers,language_total,language_spanish_pct,language_french_pct,language_polish_pct,language_other_incl_not_stated_pct,foreign_language_speakers_pct,families_household_size_2_persons,families_household_size_3_persons,families_household_size_4_persons,families_household_size_5_persons,families_household_size_6_plus_persons,families_household_size_total,families_household_size_2_persons_pct,families_household_size_3_persons_pct,families_household_size_4_persons_pct,families_household_size_5_persons_pct,families_household_size_6_plus_persons_pct,persons_household_size_2_persons,persons_household_size_3_persons,persons_household_size_4_persons,persons_household_size_5_persons,persons_household_size_6_plus_persons,persons_household_size_total,persons_household_size_2_persons_pct,persons_household_size_3_persons_pct,persons_household_size_4_persons_pct,persons_household_size_5_persons_pct,persons_household_size_6_plus_persons_pct,children_household_size_2_persons,children_household_size_3_persons,children_household_size_4_persons,children_household_size_5_persons,children_household_size_6_plus_persons,children_household_size_total,children_household_size_2_persons_pct,children_household_size_3_persons_pct,children_household_size_4_persons_pct,children_household_size_5_persons_pct,children_household_size_6_plus_persons_pct,families_total,families_2_person_households,families_3_person_households,families_4_person_households,families_5_person_households,families_6_plus_person_households,families_2_person_households_pct,families_3_person_households_pct,families_4_person_households_pct,families_5_person_households_pct,families_6_plus_person_households_pct,status_at_work,status_looking_first_job,status_short_term_unemployed,status_long_term_unemployed,status_student,status_home_family,status_retired,status_unable_to_work,status_other,status_total_15_plus,status_unemployed,status_at_work_pct,status_student_pct,status_retired_pct,status_home_family_pct,status_unable_to_work_pct,status_looking_first_job_pct,status_short_term_unemployed_pct,status_long_term_unemployed_pct,status_unemployed_pct,status_other_pct
"Baltinglass, Wicklow",Baltinglass,Wicklow,28041,5915,6019,11769,4338,21.1,21.5,42.0,15.5,27792,24343,1352,394,54,709,940,0,3449,87.6,12.4,4.9,1.4,0.2,2.6,3.4,0.0,27792,25146,468,363,40,688,457,630,2016,90.5,7.3,1.7,1.3,0.1,2.5,1.6,2.3,23930,59,2005,103,256,323,1116,27792,86.1,0.2,7.2,0.4,0.9,1.2,4.0,19863,3042,3846,1290,28041,70.8,10.8,13.7,4.6,189,257,466,1510,2422,2422,0.7,0.9,1.7,5.4,8.6,2789,1620,1700,877,390,7376,37.8,22.0,23.0,11.9,5.3,5578,4860,6800,4385,2453,24076,23.2,20.2,28.2,18.2,10.2,696,1985,3513,2671,1682,10547,6.6,18.8,33.3,25.3,15.9,7376,2789,1620,1700,877,390,37.8,22.0,23.0,11.9,5.3,12343,156,347,555,2281,1875,3405,972,192,22126,1058,55.8,10.3,15.4,8.5,4.4,0.7,1.6,2.5,4.8,0.9
"Bandon-Kinsale, Cork County",Bandon-Kinsale,Cork County,40387,8786,8608,16963,6030,21.8,21.3,42.0,14.9,39713,32644,2412,1009,136,1616,1896,0,7069,82.2,17.8,6.1,2.5,0.3,4.1,4.8,0.0,39713,34466,964,950,110,1535,961,727,4520,86.8,11.4,2.4,2.4,0.3,3.9,2.4,1.8,32596,55,4492,186,543,597,1244,39713,82.1,0.1,11.3,0.5,1.4,1.5,3.1,28827,3916,6156,1488,40387,71.4,9.7,15.2,3.7,271,509,1207,2809,4796,4796,0.7,1.3,3.0,7.0,11.9,3684,2224,2500,1414,513,10335,35.6,21.5,24.2,13.7,5.0,7368,6672,10000,7070,3226,34336,21.5,19.4,29.1,20.6,9.4,716,2624,5115,4274,2219,14948,4.8,17.6,34.2,28.6,14.8,10335,3684,2224,2500,1414,513,35.6,21.5,24.2,13.7,5.0,18379,169,363,447,3738,2312,4780,1208,205,31601,979,58.2,11.8,15.1,7.3,3.8,0.5,1.1,1.4,3.1,0.6
"Bantry-West Cork, Cork County",Bantry-West Cork,Cork County,24030,4143,4507,9958,5422,17.2,18.8,41.4,22.6,23421,18122,2904,258,94,1139,904,0,5299,77.4,22.6,12.4,1.1,0.4,4.9,3.9,0.0,23421,19364,1670,244,54,1019,404,666,3391,82.7,14.5,7.1,1.0,0.2,4.4,1.7,2.8,18205,56,3517,67,261,295,1020,23421,77.7,0.2,15.0,0.3,1.1,1.3,4.4,15913,2213,4693,1211,24030,66.2,9.2,19.5,5.0,187,258,316,1507,2268,2268,0.8,1.1,1.3,6.3,9.4,2847,1181,1083,623,325,6059,47.0,19.5,17.9,10.3,5.4,5694,3543,4332,3115,2045,18729,30.4,18.9,23.1,16.6,10.9,547,1422,2243,1894,1401,7507,7.3,18.9,29.9,25.2,18.7,6059,2847,1181,1083,623,325,47.0,19.5,17.9,10.3,5.4,10215,91,290,345,1727,1553,4552,926,188,19887,726,51.4,8.7,22.9,7.8,4.7,0.5,1.5,1.7,3.7,0.9
"Belmullet, Mayo",Belmullet,Mayo,12683,2057,2302,4984,3340,16.2,18.2,39.3,26.3,12387,10301,1549,85,36,186,230,0,2086,83.2,16.8,12.5,0.7,0.3,1.5,1.9,0.0,12387,11429,370,83,37,162,85,221,737,92.3,5.9,3.0,0.7,0.3,1.3,0.7,1.8,11165,12,723,6,77,62,342,12387,90.1,0.1,5.8,0.0,0.6,0.5,2.8,10998,429,863,393,12683,86.7,3.4,6.8,3.1,27,99,104,344,574,574,0.2,0.8,0.8,2.7,4.5,1546,680,556,313,174,3269,47.3,20.8,17.0,9.6,5.3,3092,2040,2224,1565,1101,10022,30.9,20.4,22.2,15.6,11.0,361,815,1159,950,762,4047,8.9,20.1,28.6,23.5,18.8,3269,1546,680,556,313,174,47.3,20.8,17.0,9.6,5.3,4685,70,202,302,902,912,2784,646,123,10626,574,44.1,8.5,26.2,8.6,6.1,0.7,1.9,2.8,5.4,1.2
"Birr, Offaly",Birr,Offaly,27004,5317,6041,10712,4934,19.7,22.4,39.7,18.3,26794,23826,1225,465,53,631,594,0,2968,88.9,11.1,4.6,1.7,0.2,2.4,2.2,0.0,26794,24567,380,411,39,568,285,544,1683,91.7,6.3,1.4,1.5,0.1,2.1,1.1,2.0,23251,525,1607,61,177,226,947,26794,86.8,2.0,6.0,0.2,0.7,0.8,3.5,22479,1513,1970,1042,27004,83.2,5.6,7.3,3.9,86,159,548,1146,1939,1939,0.3,0.6,2.0,4.2,7.2,2829,1526,1476,812,350,6993,40.5,21.8,21.1,11.6,5.0,5658,4578,5904,4060,2217,22417,25.2,20.4,26.3,18.1,9.9,689,1834,3071,2469,1525,9588,7.2,19.1,32.0,25.8,15.9,6993,2829,1526,1476,812,350,40.5,21.8,21.1,11.6,5.0,11217,207,346,625,2147,1883,3850,1217,195,21687,1178,51.7,9.9,17.8,8.7,5.6,1.0,1.6,2.9,5.4,0.9
"Blackrock, Dún Laoghaire-Rathdown",Blackrock,Dún Laoghaire-Rathdown,34280,5863,9036,13022,6359,17.1,26.4,38.0,18.6,33642,25787,2109,188,826,1417,3315,0,7855,76.7,23.3,6.3,0.6,2.5,4.2,9.9,0.0,33642,28394,523,156,734,1278,1854,703,4545,84.4,13.5,1.6,0.5,2.2,3.8,5.5,2.1,26291,31,2947,186,2138,808,1241,33642,78.1,0.1,8.8,0.6,6.4,2.4,3.7,21050,3751,8025,1454,34280,61.4,10.9,23.4,4.2,629,775,198,3881,5483,5483,1.8,2.3,0.6,11.3,16.0,3591,1643,1915,978,216,8343,43.0,19.7,23.0,11.7,2.6,7182,4929,7660,4890,1334,25995,27.6,19.0,29.5,18.8,5.1,593,1907,3928,2948,906,10282,5.8,18.5,38.2,28.7,8.8,8343,3591,1643,1915,978,216,43.0,19.7,23.0,11.7,2.6,15479,148,380,344,4133,1748,5479,535,171,28417,872,54.5,14.5,19.3,6.2,1.9,0.5,1.3,1.2,3.1,0.6
"Blanchardstown-Mulhuddart, Fingal",Blanchardstown-Mulhuddart,Fingal,40022,9602,11478,16497,2445,24.0,28.7,41.2,6.1,39720,24259,856,2175,1596,4026,6808,0,15461,61.1,38.9,2.2,5.5,4.0,10.1,17.1,0.0,39720,27085,298,1930,1053,4194,2754,2406,10229,68.2,25.8,0.8,4.9,2.7,10.6,6.9,6.1,16543,491,8283,3063,5048,1571,4721,39720,41.6,1.2,20.9,7.7,12.7,4.0,11.9,19707,10473,4944,4898,40022,49.2,26.2,12.4,12.2,395,475,2442,12881,16193,16193,1.0,1.2,6.1,32.2,40.5,2984,2261,2343,1056,465,9109,32.8,24.8,25.7,11.6,5.1,5968,6783,9372,5280,3010,30413,19.6,22.3,30.8,17.4,9.9,1063,2921,5001,3263,2120,14368,7.4,20.3,34.8,22.7,14.8,9109,2984,2261,2343,1056,465,32.8,24.8,25.7,11.6,5.1,18883,410,736,1062,3906,1879,2118,1237,189,30420,2208,62.1,12.8,7.0,6.2,4.1,1.3,2.4,3.5,7.3,0.6
"Borris-In-Ossory-Mountmellick, Laois",Borris-In-Ossory-Mountmellick,Laois,26452,5549,6134,10608,4161,21.0,23.2,40.1,15.7,26304,23505,1128,294,29,555,793,0,2799,89.4,10.6,4.3,1.1,0.1,2.1,3.0,0.0,26304,24288,319,246,13,462,401,575,1441,92.3,5.5,1.2,0.9,0.0,1.8,1.5,2.2,23125,245,1459,265,200,188,822,26304,87.9,0.9,5.5,1.0,0.8,0.7,3.1,21302,2149,2057,944,26452,80.5,8.1,7.8,3.6,71,214,374,1308,1967,1967,0.3,0.8,1.4,4.9,7.4,2571,1451,1559,899,388,6868,37.4,21.1,22.7,13.1,5.6,5142,4353,6236,4495,2475,22701,22.7,19.2,27.5,19.8,10.9,673,1768,3263,2729,1717,10150,6.6,17.4,32.1,26.9,16.9,6868,2571,1451,1559,899,388,37.4,21.1,22.7,13.1,5.6,11515,182,290,550,2134,1793,3194,1104,141,20903,1022,55.1,10.2,15.3,8.6,5.3,0.9,1.4,2.6,4.9,0.7
"Boyle, Roscommon",Boyle,Roscommon,24421,4800,4820,9776,5025,19.7,19.7,40.0,20.6,24147,19169,2394,365,146,990,1083,0,4978,79.4,20.6,9.9,1.5,0.6,4.1,4.5,0.0,24147,20470,1058,340,130,939,602,608,3069,84.8,12.7,4.4,1.4,0.5,3.9,2.5,2.5,19065,243,2659,109,649,467,955,24147,79.0,1.0,11.0,0.5,2.7,1.9,4.0,18594,2066,2713,1048,24421,76.1,8.5,11.1,4.3,97,156,440,2179,2872,2872,0.4,0.6,1.8,8.9,11.8,2780,1283,1249,665,297,6274,44.3,20.4,19.9,10.6,4.7,5560,3849,4996,3325,1895,19625,28.3,19.6,25.5,16.9,9.7,562,1543,2598,2023,1310,8036,7.0,19.2,32.3,25.2,16.3,6274,2780,1283,1249,665,297,44.3,20.4,19.9,10.6,4.7,9835,180,327,573,1789,1536,4070,1153,158,19621,1080,50.1,9.1,20.7,7.8,5.9,0.9,1.7,2.9,5.5,0.8
"Bray East, Wicklow",Bray East,Wicklow,17728,2949,3902,7355,3522,16.6,22.0,41.5,19.9,17520,13376,913,382,216,905,1728,0,4144,76.3,23.7,5.2,2.2,1.2,5.2,9.9,0.0,17520,14402,247,329,156,896,1101,389,2729,82.2,15.6,1.4,1.9,0.9,5.1,6.3,2.2,12938,79,1934,147,978,380,1064,17520,73.8,0.5,11.0,0.8,5.6,2.2,6.1,10434,1943,4191,1160,17728,58.9,11.0,23.6,6.5,164,182,387,2286,3019,3019,0.9,1.0,2.2,12.9,17.0,2183,1038,875,363,114,4573,47.7,22.7,19.1,7.9,2.5,4366,3114,3500,1815,714,13509,32.3,23.1,25.9,13.4,5.3,547,1261,1826,1110,490,5234,10.5,24.1,34.9,21.2,9.4,4573,2183,1038,875,363,114,47.7,22.7,19.1,7.9,2.5,7775,131,259,419,1355,1009,2974,736,121,14779,809,52.6,9.2,20.1,6.8,5.0,0.9,1.8,2.8,5.5,0.8
"Bray West, Wicklow",Bray West,Wicklow,19144,3639,4612,8135,2758,19.0,24.1,42.5,14.4,18768,15550,1126,248,129,598,1117,0,3218,82.9,17.1,6.0,1.3,0.7,3.2,6.0,0.0,18768,16581,325,209,64,587,498,504,1683,88.3,9.0,1.7,1.1,0.3,3.1,2.7,2.7,15102,107,1655,108,520,308,968,18768,80.5,0.6,8.8,0.6,2.8,1.6,5.2,11555,2279,4174,1136,19144,60.4,11.9,21.8,5.9,245,241,289,1566,2341,2341,1.3,1.3,1.5,8.2,12.2,1819,1170,1214,542,171,4916,37.0,23.8,24.7,11.0,3.5,3638,3510,4856,2710,1063,15777,23.1,22.2,30.8,17.2,6.7,512,1443,2526,1644,730,6855,7.5,21.1,36.8,24.0,10.6,4916,1819,1170,1214,542,171,37.0,23.8,24.7,11.0,3.5,8801,117,259,385,1831,1081,2347,587,97,15505,761,56.8,11.8,15.1,7.0,3.8,0.8,1.7,2.5,4.9,0.6
"Buncrana, Donegal",Buncrana,Donegal,22618,4894,4799,9396,3529,21.6,21.2,41.5,15.6,22353,15064,6275,191,47,359,417,0,7289,67.4,32.6,28.1,0.9,0.2,1.6,1.9,0.0,22353,20623,587,158,27,314,183,461,1269,92.3,5.7,2.6,0.7,0.1,1.4,0.8,2.1,19922,37,1144,41,109,173,927,22353,89.1,0.2,5.1,0.2,0.5,0.8,4.1,18258,1750,1656,954,22618,80.7,7.7,7.3,4.2,104,68,251,638,1061,1061,0.5,0.3,1.1,2.8,4.7,2274,1151,1276,738,380,5819,39.1,19.8,21.9,12.7,6.5,4548,3453,5104,3690,2398,19193,23.7,18.0,26.6,19.2,12.5,575,1417,2655,2251,1645,8543,6.7,16.6,31.1,26.3,19.3,5819,2274,1151,1276,738,380,39.1,19.8,21.9,12.7,6.5,9328,144,329,613,1925,1410,3021,871,83,17724,1086,52.6,10.9,17.0,8.0,4.9,0.8,1.9,3.5,6.1,0.5
"Cabra-Glasnevin, Dublin City",Cabra-Glasnevin,Dublin City,63073,8417,20537,25368,8751,13.3,32.6,40.2,13.9,62396,45077,2480,973,1067,5011,7788,0,17319,72.2,27.8,4.0,1.6,1.7,8.0,12.5,0.0,62396,45051,673,872,941,5063,5356,4440,12905,72.2,20.7,1.1,1.4,1.5,8.1,8.6,7.1,40422,110,8368,1041,2941,2342,7172,62396,64.8,0.2,13.4,1.7,4.7,3.8,11.5,33238,6764,15652,7419,63073,52.7,10.7,24.8,11.8,1384,866,982,10191,13423,13423,2.2,1.4,1.6,16.2,21.3,6769,2907,2492,895,259,13322,50.8,21.8,18.7,6.7,1.9,13538,8721,9968,4475,1627,38329,35.3,22.8,26.0,11.7,4.2,1415,3530,5199,2726,1128,13998,10.1,25.2,37.1,19.5,8.1,13322,6769,2907,2492,895,259,50.8,21.8,18.7,6.7,1.9,33094,404,999,1285,5453,2272,8038,2122,989,54656,2688,60.5,10.0,14.7,4.2,3.9,0.7,1.8,2.4,4.9,1.8
"Cahir, Tipperary",Cahir,Tipperary,15387,3151,3185,6369,2682,20.5,20.7,41.4,17.4,15241,12709,937,313,23,633,626,0,2532,83.4,16.6,6.1,2.1,0.2,4.2,4.1,0.0,15241,13176,366,292,20,644,319,424,1641,86.5,10.8,2.4,1.9,0.1,4.2,2.1,2.8,12371,132,1528,42,140,219,809,15241,81.2,0.9,10.0,0.3,0.9,1.4,5.3,11887,1201,1431,868,15387,77.3,7.8,9.3,5.6,51,108,343,1228,1730,1730,0.3,0.7,2.2,8.0,11.2,1607,893,871,487,148,4006,40.1,22.3,21.7,12.2,3.7,3214,2679,3484,2435,949,12761,25.2,21.0,27.3,19.1,7.4,358,1050,1794,1473,659,5334,6.7,19.7,33.6,27.6,12.4,4006,1607,893,871,487,148,40.1,22.3,21.7,12.2,3.7,6873,74,167,244,1165,923,2100,622,68,12236,485,56.2,9.5,17.2,7.5,5.1,0.6,1.4,2.0,4.0,0.6
"Callan-Thomastown, Kilkenny",Callan-Thomastown,Kilkenny,26818,5570,5558,11105,4585,20.8,20.7,41.4,17.1,26532,23418,1527,312,98,526,651,0,3114,88.3,11.7,5.8,1.2,0.4,2.0,2.5,0.0,26532,24341,520,277,78,451,301,564,1627,91.7,6.1,2.0,1.0,0.3,1.7,1.1,2.1,23271,164,1539,62,228,281,987,26532,87.7,0.6,5.8,0.2,0.9,1.1,3.7,21151,1489,3084,1094,26818,78.9,5.6,11.5,4.1,141,250,409,1043,1843,1843,0.5,0.9,1.5,3.9,6.9,2691,1543,1556,902,353,7045,38.2,21.9,22.1,12.8,5.0,5382,4629,6224,4510,2241,22986,23.4,20.1,27.1,19.6,9.7,584,1814,3198,2733,1547,9876,5.9,18.4,32.4,27.7,15.7,7045,2691,1543,1556,902,353,38.2,21.9,22.1,12.8,5.0,11787,140,325,473,2254,1543,3627,947,152,21248,938,55.5,10.6,17.1,7.3,4.5,0.7,1.5,2.2,4.4,0.7
"Cappamore-Kilmallock, Limerick",Cappamore-Kilmallock,Limerick,36500,7405,7656,14847,6592,20.3,21.0,40.7,18.1,36282,32771,1848,355,99,426,783,0,3511,90.3,9.7,5.1,1.0,0.3,1.2,2.2,0.0,36282,33842,529,305,92,411,323,780,1660,93.3,4.6,1.5,0.8,0.3,1.1,0.9,2.1,32414,205,1640,139,287,193,1404,36282,89.3,0.6,4.5,0.4,0.8,0.5,3.9,30519,1360,3027,1594,36500,83.6,3.7,8.3,4.4,147,302,422,1181,2052,2052,0.4,0.8,1.2,3.2,5.6,3670,2112,2087,1146,440,9455,38.8,22.3,22.1,12.1,4.7,7340,6336,8348,5730,2761,30515,24.1,20.8,27.4,18.8,9.0,794,2536,4317,3484,1900,13031,6.1,19.5,33.1,26.7,14.6,9455,3670,2112,2087,1146,440,38.8,22.3,22.1,12.1,4.7,15843,149,339,589,3176,1996,5288,1569,146,29095,1077,54.5,10.9,18.2,6.9,5.4,0.5,1.2,2.0,3.7,0.5
"Carlow, Carlow",Carlow,Carlow,25168,4800,6865,10055,3448,19.1,27.3,40.0,13.7,24858,19013,1010,1227,247,1492,1869,0,5845,76.5,23.5,4.1,4.9,1.0,6.0,7.5,0.0,24858,19610,296,1079,203,1443,1021,1206,4042,78.9,16.3,1.2,4.3,0.8,5.8,4.1,4.9,16944,393,3373,645,969,633,1901,24858,68.2,1.6,13.6,2.6,3.9,2.5,7.6,16546,3239,3328,2055,25168,65.7,12.9,13.2,8.2,159,194,1434,3385,5172,5172,0.6,0.8,5.7,13.4,20.5,2665,1456,1286,565,216,6188,43.1,23.5,20.8,9.1,3.5,5330,4368,5144,2825,1373,19040,28.0,22.9,27.0,14.8,7.2,756,1839,2716,1742,950,8003,9.4,23.0,33.9,21.8,11.9,6188,2665,1456,1286,565,216,43.1,23.5,20.8,9.1,3.5,10491,247,397,801,2561,1439,2975,1366,91,20368,1445,51.5,12.6,14.6,7.1,6.7,1.2,1.9,3.9,7.1,0.4
"Carndonagh, Donegal",Carndonagh,Donegal,17736,3874,3764,6768,3330,21.8,21.2,38.2,18.8,17434,13813,3065,34,32,135,355,0,3621,79.2,20.8,17.6,0.2,0.2,0.8,2.0,0.0,17434,16342,518,30,20,121,152,251,841,93.7,4.8,3.0,0.2,0.1,0.7,0.9,1.4,15926,9,758,14,99,92,536,17434,91.4,0.1,4.3,0.1,0.6,0.5,3.1,14733,1038,1372,593,17736,83.1,5.9,7.7,3.3,76,65,40,369,550,550,0.4,0.4,0.2,2.1,3.1,1837,880,888,592,360,4557,40.3,19.3,19.5,13.0,7.9,3674,2640,3552,2960,2312,15138,24.3,17.4,23.5,19.6,15.3,407,1057,1853,1808,1602,6727,6.1,15.7,27.5,26.9,23.8,4557,1837,880,888,592,360,40.3,19.3,19.5,13.0,7.9,6742,124,249,443,1474,1239,2847,688,56,13862,816,48.6,10.6,20.5,8.9,5.0,0.9,1.8,3.2,5.9,0.4
"Carrick-On-Shannon, Leitrim",Carrick-On-Shannon,Leitrim,12634,2736,2524,5156,2218,21.7,20.0,40.8,17.6,12490,9963,1046,432,70,484,495,0,2527,79.8,20.2,8.4,3.5,0.6,3.9,4.0,0.0,12490,10631,371,378,49,431,223,407,1452,85.1,11.6,3.0,3.0,0.4,3.5,1.8,3.3,9715,145,1446,43,241,258,642,12490,77.8,1.2,11.6,0.3,1.9,2.1,5.1,9587,1002,1331,714,12634,75.9,7.9,10.5,5.7,60,80,538,1024,1702,1702,0.5,0.6,4.3,8.1,13.5,1342,637,665,364,175,3183,42.2,20.0,20.9,11.4,5.5,2684,1911,2660,1820,1104,10179,26.4,18.8,26.1,17.9,10.8,282,772,1374,1097,758,4283,6.6,18.0,32.1,25.6,17.7,3183,1342,637,665,364,175,42.2,20.0,20.9,11.4,5.5,5429,90,166,291,900,566,1918,462,76,9898,547,54.8,9.1,19.4,5.7,4.7,0.9,1.7,2.9,5.5,0.8
"Carrick-On-Suir, Tipperary",Carrick-On-Suir,Tipperary,20191,3839,4557,8151,3644,19.0,22.6,40.4,18.0,20019,17650,1218,180,43,341,587,0,2369,88.2,11.8,6.1,0.9,0.2,1.7,2.9,0.0,20019,18299,436,169,34,292,303,486,1234,91.4,6.2,2.2,0.8,0.2,1.5,1.5,2.4,17521,133,1182,109,202,128,744,20019,87.5,0.7,5.9,0.5,1.0,0.6,3.7,16731,1064,1545,851,20191,82.9,5.3,7.7,4.2,56,173,210,862,1301,1301,0.3,0.9,1.0,4.3,6.4,2220,1196,1101,557,223,5297,41.9,22.6,20.8,10.5,4.2,4440,3588,4404,2785,1428,16645,26.7,21.6,26.5,16.7,8.6,664,1492,2325,1707,995,7183,9.2,20.8,32.4,23.8,13.9,5297,2220,1196,1101,557,223,41.9,22.6,20.8,10.5,4.2,8319,138,245,481,1616,1346,2951,1160,96,16352,864,50.9,9.9,18.0,8.2,7.1,0.8,1.5,2.9,5.3,0.6
"Carrickmacross-Castleblayney, Monaghan",Carrickmacross-Castleblayney,Monaghan,23469,5251,5411,9294,3513,22.4,23.1,39.6,15.0,23304,17984,2399,271,74,1642,934,0,5320,77.2,22.8,10.3,1.2,0.3,7.0,4.0,0.0,23304,20115,267,238,57,1516,476,635,2554,86.3,11.0,1.1,1.0,0.2,6.5,2.0,2.7,18858,57,2312,303,357,355,1062,23304,80.9,0.2,9.9,1.3,1.5,1.5,4.6,18461,2122,1706,1180,23469,78.7,9.0,7.3,5.0,64,185,337,2484,3070,3070,0.3,0.8,1.4,10.6,13.1,2169,1255,1217,790,403,5834,37.2,21.5,20.9,13.5,6.9,4338,3765,4868,3950,2572,19493,22.3,19.3,25.0,20.3,13.2,580,1557,2538,2400,1784,8859,6.5,17.6,28.6,27.1,20.1,5834,2169,1255,1217,790,403,37.2,21.5,20.9,13.5,6.9,10154,151,359,485,1943,1373,2812,829,112,18218,995,55.7,10.7,15.4,7.5,4.6,0.8,2.0,2.7,5.5,0.6
"Carrigaline, Cork County",Carrigaline,Cork County,39145,8726,8873,16646,4900,22.3,22.7,42.5,12.5,38786,32157,1966,1045,409,1350,1859,0,6629,82.9,17.1,5.1,2.7,1.1,3.5,4.8,0.0,38786,34315,618,910,327,1247,847,522,3949,88.5,10.2,1.6,2.3,0.8,3.2,2.2,1.3,31881,38,3846,467,955,700,899,38786,82.2,0.1,9.9,1.2,2.5,1.8,2.3,27738,3591,6736,1080,39145,70.9,9.2,17.2,2.8,327,552,1380,3075,5334,5334,0.8,1.4,3.5,7.9,13.6,3731,2319,2772,1362,388,10572,35.3,21.9,26.2,12.9,3.7,7462,6957,11088,6810,2397,34714,21.5,20.0,31.9,19.6,6.9,862,2770,5692,4119,1637,15080,5.7,18.4,37.7,27.3,10.9,10572,3731,2319,2772,1362,388,35.3,21.9,26.2,12.9,3.7,17970,172,353,503,3824,2186,4172,1060,179,30419,1028,59.1,12.6,13.7,7.2,3.5,0.6,1.2,1.7,3.4,0.6
"Cashel-Tipperary, Tipperary",Cashel-Tipperary,Tipperary,29145,5866,6372,11790,5117,20.1,21.9,40.5,17.6,28921,24581,1663,528,88,1112,949,0,4340,85.0,15.0,5.8,1.8,0.3,3.8,3.3,0.0,28921,25601,527,474,65,1083,407,764,2556,88.5,8.8,1.8,1.6,0.2,3.7,1.4,2.6,24027,321,2492,66,335,388,1292,28921,83.1,1.1,8.6,0.2,1.2,1.3,4.5,23206,2029,2516,1394,29145,79.6,7.0,8.6,4.8,70,205,636,2068,2979,2979,0.2,0.7,2.2,7.1,10.2,3071,1670,1598,845,331,7515,40.9,22.2,21.3,11.2,4.4,6142,5010,6392,4225,2113,23882,25.7,21.0,26.8,17.7,8.8,839,2076,3347,2588,1470,10320,8.1,20.1,32.4,25.1,14.2,7515,3071,1670,1598,845,331,40.9,22.2,21.3,11.2,4.4,12479,171,333,623,2282,1640,4147,1459,145,23279,1127,53.6,9.8,17.8,7.0,6.3,0.7,1.4,2.7,4.8,0.6
"Castlebar, Mayo",Castlebar,Mayo,32080,6258,6909,13230,5683,19.5,21.5,41.2,17.7,31696,25561,2632,683,296,902,1622,0,6135,80.6,19.4,8.3,2.2,0.9,2.8,5.1,0.0,31696,27477,737,558,237,816,920,951,3268,86.7,10.3,2.3,1.8,0.7,2.6,2.9,3.0,25359,312,2725,382,769,515,1634,31696,80.0,1.0,8.6,1.2,2.4,1.6,5.2,24736,2259,3259,1826,32080,77.1,7.0,10.2,5.7,149,237,878,2339,3603,3603,0.5,0.7,2.7,7.3,11.2,3356,1731,1705,931,399,8122,41.3,21.3,21.0,11.5,4.9,6712,5193,6820,4655,2490,25870,25.9,20.1,26.4,18.0,9.6,722,2060,3519,2830,1706,10837,6.7,19.0,32.5,26.1,15.7,8122,3356,1731,1705,931,399,41.3,21.3,21.0,11.5,4.9,14108,199,360,652,2750,1486,4958,1148,161,25822,1211,54.6,10.6,19.2,5.8,4.4,0.8,1.4,2.5,4.7,0.6
"Castlecomer, Kilkenny",Castlecomer,Kilkenny,24863,5036,5398,10160,4269,20.3,21.7,40.9,17.2,24708,22428,1254,153,107,309,457,0,2280,90.8,9.2,5.1,0.6,0.4,1.3,1.8,0.0,24708,23147,365,142,98,259,154,543,1018,93.7,4.1,1.5,0.6,0.4,1.0,0.6,2.2,22395,76,933,56,260,140,848,24708,90.6,0.3,3.8,0.2,1.1,0.6,3.4,20699,1341,1883,940,24863,83.3,5.4,7.6,3.8,96,187,172,766,1221,1221,0.4,0.8,0.7,3.1,4.9,2331,1490,1526,818,322,6487,35.9,23.0,23.5,12.6,5.0,4662,4470,6104,4090,2013,21339,21.8,20.9,28.6,19.2,9.4,527,1770,3137,2482,1379,9295,5.7,19.0,33.7,26.7,14.8,6487,2331,1490,1526,818,322,35.9,23.0,23.5,12.6,5.0,11124,124,246,444,2060,1419,3337,902,171,19827,814,56.1,10.4,16.8,7.2,4.5,0.6,1.2,2.2,4.1,0.9
